likes_pro,likes_anti,likes_neutral,likes_total,bias,topic,date
251175.0,338324.0,161850.0,751349.0,-0.1159900392494034,Democratic concerns,2020-06-20 00:00:00+00:00
214568.0,355132.0,185790.0,755490.0,-0.18605673139287085,Democratic concerns,2020-06-21 00:00:00+00:00
196135.0,390118.0,179248.0,765501.0,-0.25340659254527426,Democratic concerns,2020-06-22 00:00:00+00:00
199458.0,487056.0,173110.0,859624.0,-0.3345625529301183,Democratic concerns,2020-06-23 00:00:00+00:00
220617.0,501330.0,173398.0,895345.0,-0.313524954067985,Democratic concerns,2020-06-24 00:00:00+00:00
202280.0,485944.0,162512.0,850736.0,-0.3334336386376032,Democratic concerns,2020-06-25 00:00:00+00:00
202237.0,505894.0,170374.0,878505.0,-0.3456519883210682,Democratic concerns,2020-06-26 00:00:00+00:00
206461.0,474139.0,83345.0,763945.0,-0.35038909869165974,Democratic concerns,2020-06-27 00:00:00+00:00
314210.0,498106.0,55415.0,867731.0,-0.2119274291226198,Democratic concerns,2020-06-28 00:00:00+00:00
305229.0,471515.0,57085.0,833829.0,-0.19942458225847265,Democratic concerns,2020-06-29 00:00:00+00:00
291888.0,383926.0,55564.0,731378.0,-0.12584190391288771,Democratic concerns,2020-06-30 00:00:00+00:00
284469.0,387989.0,46282.0,718740.0,-0.1440298299802432,Democratic concerns,2020-07-01 00:00:00+00:00
294495.0,373894.0,46372.0,714761.0,-0.11108468425109932,Democratic concerns,2020-07-02 00:00:00+00:00
318169.0,338838.0,38335.0,695342.0,-0.029724941108116583,Democratic concerns,2020-07-03 00:00:00+00:00
336378.0,321445.0,34244.0,692067.0,0.021577390628364015,Democratic concerns,2020-07-04 00:00:00+00:00
225191.0,299150.0,34115.0,558456.0,-0.13243478447720142,Democratic concerns,2020-07-05 00:00:00+00:00
235283.0,281159.0,27407.0,543849.0,-0.08435429687284522,Democratic concerns,2020-07-06 00:00:00+00:00
247251.0,269806.0,32531.0,549588.0,-0.04103983347525783,Democratic concerns,2020-07-07 00:00:00+00:00
321641.0,266372.0,45945.0,633958.0,0.08718085425217444,Democratic concerns,2020-07-08 00:00:00+00:00
317676.0,284978.0,49288.0,651942.0,0.05015476836896534,Democratic concerns,2020-07-09 00:00:00+00:00
300599.0,278726.0,52119.0,631444.0,0.034639651338836064,Democratic concerns,2020-07-10 00:00:00+00:00
276365.0,259822.0,60084.0,596271.0,0.027744096224703196,Democratic concerns,2020-07-11 00:00:00+00:00
282627.0,262383.0,57270.0,602280.0,0.03361227336122734,Democratic concerns,2020-07-12 00:00:00+00:00
302148.0,285813.0,59883.0,647844.0,0.025214403467501437,Democratic concerns,2020-07-13 00:00:00+00:00
306958.0,323936.0,52651.0,683545.0,-0.024838159887059376,Democratic concerns,2020-07-14 00:00:00+00:00
217098.0,306508.0,39850.0,563456.0,-0.15868142321671969,Democratic concerns,2020-07-15 00:00:00+00:00
213093.0,471953.0,38975.0,724021.0,-0.3575310660878621,Democratic concerns,2020-07-16 00:00:00+00:00
230244.0,547409.0,36406.0,814059.0,-0.3896093526390593,Democratic concerns,2020-07-17 00:00:00+00:00
253542.0,584937.0,32132.0,870611.0,-0.38064646552823245,Democratic concerns,2020-07-18 00:00:00+00:00
283585.0,572175.0,41045.0,896805.0,-0.3217979382362944,Democratic concerns,2020-07-19 00:00:00+00:00
298428.0,591950.0,48574.0,938952.0,-0.31260596920822364,Democratic concerns,2020-07-20 00:00:00+00:00
310258.0,582965.0,51030.0,944253.0,-0.2888071311396416,Democratic concerns,2020-07-21 00:00:00+00:00
321816.0,597076.0,55683.0,974575.0,-0.2824410640535618,Democratic concerns,2020-07-22 00:00:00+00:00
365759.0,428076.0,60674.0,854509.0,-0.07292725998204817,Democratic concerns,2020-07-23 00:00:00+00:00
398802.0,376759.0,66713.0,842274.0,0.026170818522238605,Democratic concerns,2020-07-24 00:00:00+00:00
394597.0,667857.0,67425.0,1129879.0,-0.24184890594479586,Democratic concerns,2020-07-25 00:00:00+00:00
365426.0,734844.0,66491.0,1166761.0,-0.3166183991408695,Democratic concerns,2020-07-26 00:00:00+00:00
338203.0,730165.0,67038.0,1135406.0,-0.3452174816761581,Democratic concerns,2020-07-27 00:00:00+00:00
346158.0,745904.0,68229.0,1160291.0,-0.3445221931394797,Democratic concerns,2020-07-28 00:00:00+00:00
340524.0,736911.0,64354.0,1141789.0,-0.3471630923051457,Democratic concerns,2020-07-29 00:00:00+00:00
