pair_key,pair_label,left_layer,right_layer,left_topic,right_topic,topic_a,topic_b,rho,p,lag,n,selected_from,is_significant,from_side,to_side,from_label,to_label,from_layer,to_layer,from_topic,to_topic
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,Abortion,National security and foreign policy,Abortion,-0.10058226025791617,0.4484618352488381,12,59,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Abortion,National security and foreign policy
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,National security and foreign policy,National security and foreign policy,National security and foreign policy,0.15132701597825166,0.27008802475227234,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,National security and foreign policy,National security and foreign policy
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,Healthcare,National security and foreign policy,Healthcare,0.4351835722328397,0.0005719452197558326,12,59,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Healthcare,National security and foreign policy
left_mid,Left–Mid,Kamala Harris,Public Reaction,National security and foreign policy,Guns control,National security and foreign policy,Guns control,-0.28248570940174517,0.022611648135152,9,65,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Guns control,National security and foreign policy
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,Immigration,Healthcare,Immigration,0.22784283692530435,0.0560074256721277,6,71,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Immigration,Healthcare
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,Wokeness,Healthcare,Wokeness,0.1613106452425089,0.1922009854068688,8,67,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Wokeness,Healthcare
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,Democratic concerns,Healthcare,Democratic concerns,0.5096073980892987,1.379924814253637e-06,-4,80,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Healthcare,Democratic concerns
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,Economy,Healthcare,Economy,-0.19739608938975733,0.08322060936356933,1,78,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Economy,Healthcare
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,Abortion,Healthcare,Abortion,-0.21380675075367728,0.06016243796936726,1,78,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Abortion,Healthcare
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,National security and foreign policy,Healthcare,National security and foreign policy,-0.11785098217705901,0.3656978542179681,11,61,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,National security and foreign policy,Healthcare
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,Healthcare,Healthcare,Healthcare,0.37880003284033553,0.004346622777408104,14,55,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Healthcare,Healthcare
left_mid,Left–Mid,Kamala Harris,Public Reaction,Healthcare,Guns control,Healthcare,Guns control,-0.5839859611606194,1.6103183884499677e-08,-5,79,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Healthcare,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,Immigration,Guns control,Immigration,-0.167942663875229,0.22034327522769187,14,55,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Immigration,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,Wokeness,Guns control,Wokeness,-0.636966510165291,1.7114877287422505e-07,14,55,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Wokeness,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,Democratic concerns,Guns control,Democratic concerns,-0.2486947734256395,0.03143582393088981,4,75,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Democratic concerns,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,Economy,Guns control,Economy,-0.3501961319903173,0.001671794142915374,1,78,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Economy,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,Abortion,Guns control,Abortion,0.12398209692762187,0.2925958844139427,-10,74,fallback_all_lags,False,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Guns control,Abortion
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,National security and foreign policy,Guns control,National security and foreign policy,-0.4066151657246227,0.0020660606737367055,14,55,significant,True,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,National security and foreign policy,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,Healthcare,Guns control,Healthcare,-0.14386451469733919,0.26063715496344125,10,63,fallback_all_lags,False,B,A,Public Reaction,Kamala Harris,Public Reaction,Kamala Harris,Healthcare,Guns control
left_mid,Left–Mid,Kamala Harris,Public Reaction,Guns control,Guns control,Guns control,Guns control,-0.3236571928274125,0.00340513620861039,-4,80,significant,True,A,B,Kamala Harris,Public Reaction,Kamala Harris,Public Reaction,Guns control,Guns control
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,Immigration,Immigration,Immigration,0.4643341597660207,7.792047884316269e-07,-5,103,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,Immigration
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,Wokeness,Immigration,Wokeness,0.5214022131143051,1.632014748889214e-08,-5,103,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,Democratic concerns,Immigration,Democratic concerns,0.38806796628990586,5.1148875480445394e-05,-5,103,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,Economy,Immigration,Economy,0.4170639026695789,1.1732131183771108e-05,-5,103,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,Economy
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,Abortion,Immigration,Abortion,0.5600637150666481,7.701045381288391e-10,-5,103,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,National security and foreign policy,Immigration,National security and foreign policy,0.3488211475852894,0.00023121947500343856,-3,107,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,National security and foreign policy
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,Healthcare,Immigration,Healthcare,-0.3363260730181329,0.0016491099402623707,-14,85,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,Healthcare
mid_right,Mid–Right,Public Reaction,Donald Trump,Immigration,Guns control,Immigration,Guns control,0.57126382009598,2.949416234055372e-10,-5,103,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Immigration,Guns control
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Immigration,Wokeness,Immigration,0.6558467238546033,2.313344192397448e-13,12,98,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Immigration,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Wokeness,Wokeness,Wokeness,0.5946932257276242,8.566765324236059e-11,-7,99,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Wokeness,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Democratic concerns,Wokeness,Democratic concerns,0.81012311340004,5.438530410236251e-24,12,98,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Democratic concerns,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Economy,Wokeness,Economy,0.6650067763154642,8.149315241452649e-14,12,98,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Economy,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Abortion,Wokeness,Abortion,0.6784797967519707,6.4082668762070985e-15,-6,101,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Wokeness,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,National security and foreign policy,Wokeness,National security and foreign policy,0.770791958289397,1.6704501284173483e-20,12,98,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,National security and foreign policy,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Healthcare,Wokeness,Healthcare,0.48780095758599423,1.7299354003145798e-07,-5,103,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Wokeness,Healthcare
mid_right,Mid–Right,Public Reaction,Donald Trump,Wokeness,Guns control,Wokeness,Guns control,0.6088288589098194,1.4318671731178896e-11,-6,101,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Wokeness,Guns control
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,Immigration,Democratic concerns,Immigration,0.6627176628281851,2.3243401938121843e-15,4,111,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Immigration,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,Wokeness,Democratic concerns,Wokeness,0.7623859724598802,2.4820725770952743e-22,4,111,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Wokeness,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,Democratic concerns,Democratic concerns,Democratic concerns,0.9048565830003972,1.7565928794324862e-41,5,109,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Democratic concerns,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,Economy,Democratic concerns,Economy,0.7024924889403059,6.050530134367257e-18,2,112,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Economy,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,Abortion,Democratic concerns,Abortion,0.8484927259621889,8.725448344851976e-31,6,107,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Abortion,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,National security and foreign policy,Democratic concerns,National security and foreign policy,0.7928666065213095,1.26081897743086e-25,1,113,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,National security and foreign policy,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,Healthcare,Democratic concerns,Healthcare,0.4672761346475141,2.0583605439100208e-07,2,112,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Healthcare,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Democratic concerns,Guns control,Democratic concerns,Guns control,0.7520763715265412,1.213298385965963e-21,2,112,significant,True,B,A,Donald Trump,Public Reaction,Donald Trump,Public Reaction,Guns control,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,Immigration,Economy,Immigration,0.5125476721228951,2.8236943140439334e-07,-12,89,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,Immigration
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,Wokeness,Economy,Wokeness,0.3303167840626182,0.0015702026543024377,-12,89,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,Wokeness
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,Democratic concerns,Economy,Democratic concerns,0.46053068587947465,5.595900364002973e-06,-12,89,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,Democratic concerns
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,Economy,Economy,Economy,0.7337896183141855,2.8503767167823045e-16,-12,89,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,Economy
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,Abortion,Economy,Abortion,0.27782319065196737,0.008388040324890263,-12,89,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,Abortion
mid_right,Mid–Right,Public Reaction,Donald Trump,Economy,National security and foreign policy,Economy,National security and foreign policy,0.5336029144647442,7.271004965218975e-08,-12,89,significant,True,A,B,Public Reaction,Donald Trump,Public Reaction,Donald Trump,Economy,National security and foreign policy
